,id,asin,description,title,price,imUrl,brand,category1,category2,cp,profit,link
69,17746,B07MFB2KJD,Y/d Check shirt.,Lee Men's Checkered Slim fit Casual Shirt,1999,https://images-na.ssl-images-amazon.com/images/I/81VO8puKy2L._UL1500_.jpg,Lee,Clothing,Men,993,1006,https://www.amazon.in/dp/B07MFB2KJD
70,18461,B07DMZ1R3H,"Lee men's blue, blended, solid, long sleeves shirts.",Lee Men's Solid Slim Fit Casual Shirt,934,https://images-na.ssl-images-amazon.com/images/I/81cc1CXZaIL._UL1500_.jpg,Lee,Clothing,Men,576,358,https://www.amazon.in/dp/B07DMZ1R3H
71,18519,B07DMTGH41,"Lee men's navy blue, cotton, checked, long sleeves shirts.",Lee Men's Checkered Slim Fit Casual Shirt,1199,https://images-na.ssl-images-amazon.com/images/I/817DRTLfjhL._UL1500_.jpg,Lee,Clothing,Men,553,646,https://www.amazon.in/dp/B07DMTGH41
72,20468,B07DQZQLX8,Printed Slim Fit Casual Shirt,Levi's Men's Printed Slim Fit Casual Shirt,1099,https://images-na.ssl-images-amazon.com/images/I/91gS7bNSeaL._UL1500_.jpg,Levis,Clothing,Men,814,285,https://www.amazon.in/dp/B07DQZQLX8
73,20539,B073RJTFQP,Men's Casual Shirt,Lee Men's Casual Shirt,959,https://images-na.ssl-images-amazon.com/images/I/81po8MBI9-L._UL1500_.jpg,Lee,Clothing,Men,319,640,https://www.amazon.in/dp/B073RJTFQP
74,20638,B07DMS9ZQG,"Lee men's gold, cotton, self design, long sleeves shirts.",Lee Men's Checkered Slim Fit Casual Shirt,1016,https://images-na.ssl-images-amazon.com/images/I/81VhurO9lJL._UL1500_.jpg,Lee,Clothing,Men,944,72,https://www.amazon.in/dp/B07DMS9ZQG
75,20700,B07DN1QT4Y,"Lee men's grey, blended, solid, long sleeves shirts.",Lee Men's Solid Slim Fit Casual Shirt,1169,https://images-na.ssl-images-amazon.com/images/I/81OJtH0n-DL._UL1500_.jpg,Lee,Clothing,Men,987,182,https://www.amazon.in/dp/B07DN1QT4Y
76,21029,B078JM13P3,"Solid white stylised shirt, with spread collar and full sleeve.",Lee Men's Solid Slim Fit Casual Shirt,1039,https://images-na.ssl-images-amazon.com/images/I/81IypIhouKL._UL1500_.jpg,Lee,Clothing,Men,448,591,https://www.amazon.in/dp/B078JM13P3
77,1449,B078JLP7PB,"Solid cream stylised shirt, with mandarin collar and full sleeve.",Lee Men's Solid Slim Fit Casual Shirt,1039,https://images-na.ssl-images-amazon.com/images/I/81ttjFFFJ7L._UL1500_.jpg,Lee,Clothing,Men,994,45,https://www.amazon.in/dp/B078JLP7PB
78,1872,B073RK6LRC,Casual Denim Shirt,Lee Men's Casual Shirt,1239,https://images-na.ssl-images-amazon.com/images/I/915M78DLDEL._UL1500_.jpg,Lee,Clothing,Men,630,609,https://www.amazon.in/dp/B073RK6LRC
79,2034,B07MBQ5NQM,Lee classic 5 pocket jeans styling.,Lee Men's Slim Fit Jeans,2999,https://images-na.ssl-images-amazon.com/images/I/816ahdnQhML._UL1500_.jpg,Lee,Clothing,Men,1332,1667,https://www.amazon.in/dp/B07MBQ5NQM
80,2117,B07MMSRTJ4,Slim Fit Jeans,KILLER Men's Slim Fit Jeans,2799,https://images-na.ssl-images-amazon.com/images/I/8125-O2zkiL._UL1500_.jpg,Killer,Clothing,Men,2543,256,https://www.amazon.in/dp/B07MMSRTJ4
81,6188,B06X9X1TY5,Slim fit Jeans,KILLER Men's Slim Fit Jeans,1410,https://images-na.ssl-images-amazon.com/images/I/71z6D%2BPw-%2BL._UL1500_.jpg,Killer,Clothing,Men,1027,383,https://www.amazon.in/dp/B06X9X1TY5
82,6248,B06XGGZ59G,Slim Fit Jeans,KILLER Men's Slim Fit Jeans,1499,https://images-na.ssl-images-amazon.com/images/I/71MRKL5nvAL._UL1500_.jpg,Killer,Clothing,Men,1444,55,https://www.amazon.in/dp/B06XGGZ59G
83,6253,B079QRTYP2,Celio* 98% cotton 2% elastane straight slim fit solid jean.,Celio Men's Straight Fit Jeans,1799,https://images-na.ssl-images-amazon.com/images/I/81P5tGBA-rL._UL1500_.jpg,Celio,Clothing,Men,887,912,https://www.amazon.in/dp/B079QRTYP2
84,6309,B075QLHM94,Men's Straight Fit Jeans,Celio Men's Straight Fit Jeans,2099,https://images-na.ssl-images-amazon.com/images/I/81CBqkklSkL._UL1500_.jpg,Celio,Clothing,Men,1666,433,https://www.amazon.in/dp/B075QLHM94
